date	month	year	mld
2007-01-12	1	2007	51.3477935791
2007-01-13	1	2007	51.685218811
2007-01-14	1	2007	51.9189109802
2007-01-15	1	2007	44.6517105103
2007-01-16	1	2007	51.5811538696
2007-01-17	1	2007	51.02368927
2007-01-18	1	2007	50.5510749817
2007-01-19	1	2007	49.8827590942
2007-01-20	1	2007	49.3529891968
2007-01-21	1	2007	49.135635376
2007-01-22	1	2007	49.092124939
2007-01-23	1	2007	49.2607803345
2007-01-24	1	2007	49.7301635742
2007-01-25	1	2007	50.3728256226
2007-01-26	1	2007	11.5640449524
2007-01-27	1	2007	13.5992336273
2007-01-28	1	2007	12.3845348358
2007-01-29	1	2007	13.0639390945
2007-01-30	1	2007	10.0467176437
2007-01-31	1	2007	10.5421056747
2007-02-01	2	2007	10.4205083847
2007-02-02	2	2007	9.7826919556
2007-02-03	2	2007	12.5181503296
2007-02-04	2	2007	10.6366729736
2007-02-05	2	2007	12.9762964249
2007-02-06	2	2007	49.124332428
2007-02-07	2	2007	49.3372917175
2007-02-08	2	2007	49.8532142639
2007-02-09	2	2007	0
2007-02-10	2	2007	50.9948120117
2007-02-11	2	2007	51.5574760437
2007-02-12	2	2007	51.8192138672
2007-02-13	2	2007	51.9221725464
2007-02-14	2	2007	51.6995429993
2007-02-15	2	2007	51.3759078979
2007-02-16	2	2007	50.7515296936
2007-02-17	2	2007	50.2686347961
2007-02-18	2	2007	49.6407699585
2007-02-19	2	2007	49.20652771
2007-02-20	2	2007	49.0786399841
2007-02-21	2	2007	49.1700439453
2007-02-22	2	2007	49.4252433777
2007-02-23	2	2007	49.9826164246
2007-02-24	2	2007	50.6558113098
2007-02-25	2	2007	51.1251106262
2007-02-26	2	2007	51.6471748352
2007-02-27	2	2007	51.8670501709
2007-02-28	2	2007	51.9027824402
2007-03-01	3	2007	51.6173400879
2007-03-02	3	2007	51.2598342896
2007-03-03	3	2007	50.6110267639
2007-03-04	3	2007	50.1301383972
2007-03-05	3	2007	49.5318603516
2007-03-06	3	2007	49.1519889832
2007-03-07	3	2007	49.0709991455
2007-03-08	3	2007	49.2288131714
2007-03-09	3	2007	49.5237579346
2007-03-10	3	2007	50.1170921326
2007-03-11	3	2007	50.7956466675
2007-03-12	3	2007	51.2492599487
2007-03-13	3	2007	17.2522792816
2007-03-14	3	2007	19.6859874725
